branch_id,function_name,category,r2_total,r2_between,r2_within_formula,r2_within_balance,r2_fwl,r2_swingup,r2_reset
108:980:982,memcpy:980→982,memcpy,0.8988250432384617,0.024035328321379446,0.8963333820398218,0.9356682477388166,0.8895108715381397,0.28875151912193997,0.43379292012716186
108:912:914,memcpy:912→914,memcpy,0.9326927529247115,0.018454127483353955,0.9314273036442858,0.9616374461510906,0.9258764556196183,0.18123845735706656,0.21782024008906975
108:104:213,memcpy:104→213,memcpy,0.9368589574584508,0.0803413477720819,0.9313429581849886,0.9546973834143716,0.9133615558888039,0.47657112164768434,0.558398701198451
102:2404:2450,printf_core:2404→2450,logging/IO,0.5816670729054672,0.006049520994111157,0.5791209562945898,0.5258587645471429,0.5227765488225589,0.6679943624448474,0.5823316080577048
108:67:69,memcpy:67→69,memcpy,0.9601532782815339,0.12988611092658364,0.9542051653020975,0.9483952022858959,0.933396219544852,0.7795002992647861,0.7569727940678526
108:62:64,memcpy:62→64,memcpy,0.9347759684360031,0.12637141669764063,0.9253412344666576,0.9203958183985619,0.9052980441035985,0.7373226498178642,0.7383345054501486
102:2447:2406,printf_core:2447→2406,logging/IO,0.9366347431186578,0.14979254283369414,0.9254708290932485,0.9535542279064387,0.9071945122265369,0.6251058977569761,0.6699438460417007
101:224:241,vfprintf:224→241,logging/IO,-0.0012062251306192984,1.1646892847938517e-06,-0.0012073912261396647,-0.0007345426870601912,0.0001800332814155814,0.032268742694314345,-0.00235849024924506
108:67:213,memcpy:67→213,memcpy,-0.0013807547584507862,1.1239786725791845e-06,-0.0013818802903273752,-0.0005553599362788653,0.00018131794831133252,0.03138050158435013,-0.008666664371228983
108:689:691,memcpy:689→691,memcpy,0.9440034512938624,0.010667874338954886,0.9433996458280154,0.9566380652112128,0.9376105757305804,0.3142708640268178,0.251386994839059
108:699:766,memcpy:699→766,memcpy,0.9440034512938624,0.010667874338954886,0.9433996458280154,0.9566380652112128,0.9376105757305804,0.3142708640268178,0.251386994839059
108:62:213,memcpy:62→213,memcpy,0.9204857868590315,0.27847236045197643,0.8897974120703436,0.8728107712416757,0.8472175073307195,0.7936128607603828,0.7576649680335641
108:303:378,memcpy:303→378,memcpy,-0.0009464205594016395,1.2892439800182842e-06,-0.0009477110252122944,-0.0005839944278553943,5.233600777221348e-05,0.03345596275407259,-0.008388487954311463
108:257:259,memcpy:257→259,memcpy,-0.0009464205594016395,1.2892439800182842e-06,-0.0009477110252122944,-0.0005839944278553943,5.233600777221348e-05,0.03345596275407259,-0.008388487954311463
108:236:244,memcpy:236→244,memcpy,-0.0009464205594016395,1.2892439800182842e-06,-0.0009477110252122944,-0.0005839944278553943,5.233600777221348e-05,0.03345596275407259,-0.008388487954311463
108:225:504,memcpy:225→504,memcpy,0.9499201012594601,0.010760355145093325,0.9493753621773973,0.9628543471078581,0.9434923394789945,0.3403601273500718,0.2554118344676718
108:520:679,memcpy:520→679,memcpy,0.9499201012594601,0.010760355145093325,0.9493753621773973,0.9628543471078581,0.9434923394789945,0.3403601273500718,0.2554118344676718
108:980:992,memcpy:980→992,memcpy,0.9598609865199681,0.0055712597657373575,0.9596361087969197,0.9687220414869828,0.9523768869884055,0.6201326695724564,0.5945670592757101
102:2492:2494,printf_core:2492→2494,logging/IO,0.5793732885646733,0.005959774165730236,0.5768514185808662,0.5235406293417277,0.5211971588725521,0.6692055116126275,0.5823316080577047
102:7024:7026,printf_core:7024→7026,logging/IO,0.5793732885646733,0.005959774165730236,0.5768514185808662,0.5235406293417277,0.5211971588725521,0.6692055116126275,0.5823316080577047
102:2500:2512,printf_core:2500→2512,logging/IO,0.5793732885646733,0.005959774165730236,0.5768514185808662,0.5235406293417277,0.5211971588725521,0.6692055116126275,0.5823316080577047
102:6965:7015,printf_core:6965→7015,logging/IO,0.5793732885646733,0.005959774165730236,0.5768514185808662,0.5235406293417277,0.5211971588725521,0.6692055116126275,0.5823316080577047
109:57:384,memset:57→384,memset,0.5793732885646733,0.005959774165730236,0.5768514185808662,0.5235406293417277,0.5211971588725521,0.6692055116126275,0.5823316080577047
109:8:22,memset:8→22,memset,0.5793732885646733,0.005959774165730236,0.5768514185808662,0.5235406293417277,0.5211971588725521,0.6692055116126275,0.5823316080577047
109:28:30,memset:28→30,memset,0.5793732885646733,0.005959774165730236,0.5768514185808662,0.5235406293417277,0.5211971588725521,0.6692055116126275,0.5823316080577047
102:6925:6927,printf_core:6925→6927,logging/IO,0.5793732885646733,0.005959774165730236,0.5768514185808662,0.5235406293417277,0.5211971588725521,0.6692055116126275,0.5823316080577047
108:947:973,memcpy:947→973,memcpy,0.9555172621889007,0.005150612644990504,0.955286962653347,0.9655022478935557,0.9487181117942798,0.5857710177781008,0.5520617186295014
108:772:774,memcpy:772→774,memcpy,0.9555127875869817,0.005149221769688572,0.9552825274036029,0.9655022478935557,0.9487166479977365,0.5842804761431466,0.5520617186295014
