# Controller + Math Edge Reference (318 edges)
# Generated from 30 sessions
# * = variable edge (std > 0.01)
# ====================================================================================================

## __rem_pio2 (func_id=72, 20 edges)
    39:83:185            | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    39:281:283           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    39:281:316           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    39:299:301           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    39:299:316           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    39:314:340           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    39:456:476           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    39:495:497           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    39:511:513           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    39:511:542           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    39:526:528           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%

## set_end_of_process_flag (func_id=32, 8 edges)
    32:15:51             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    32:58:60             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    32:69:71             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    32:69:131            | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    32:118:259           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    32:143:221           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=11/30 | zero=0.0%
    32:333:438           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=11/30 | zero=0.0%
    32:505:592           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=11/30 | zero=0.0%

## stays_balanced (func_id=20, 5 edges)
    20:58:60             | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=30/30 | zero=0.0%
    20:152:154           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    20:152:178           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=30/30 | zero=0.0%
    20:176:224           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    20:179:201           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=30/30 | zero=0.0%

## tick (func_id=22, 80 edges)
    22:209:253           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    22:230:312           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    22:332:496           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    22:336:418           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    22:438:602           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    22:632:634           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    22:663:665           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    22:738:740           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    22:769:771           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    22:986:988           | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    22:986:1037          | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    22:1035:1037         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    22:1035:1057         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    22:1091:1093         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    22:1091:1522         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    22:1092:1094         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    22:1092:1143         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=11/30 | zero=0.0%
    22:1141:1143         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=12/30 | zero=0.0%
    22:1141:1167         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    22:1144:1146         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    22:1144:1166         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    22:1164:1519         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    22:1209:1211         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=18/30 | zero=0.0%
    22:1209:1636         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=29/30 | zero=0.0%
    22:1228:1230         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
    22:1250:1518         | mean=   1.00 | std=  0.00 | CV= 0.00 | range=[1,1] | sessions=1/30 | zero=0.0%
